10-09-2023 20:19:35.086 [background-preinit] INFO  o.h.validator.internal.util.Version.<clinit> - HV000001: Hibernate Validator 8.0.1.Final
10-09-2023 20:19:35.199 [restartedMain] INFO  com.ssd.matches.MatchesApplication.logStarting - Starting MatchesApplication using Java 17.0.7 with PID 8568 (C:\Users\user\Desktop\LALLY\SPRINGBOOTPROJECTS\Matches\target\classes started by user in C:\Users\user\Desktop\LALLY\SPRINGBOOTPROJECTS\Matches)
10-09-2023 20:19:35.201 [restartedMain] INFO  com.ssd.matches.MatchesApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
10-09-2023 20:19:35.296 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor.logTo - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
10-09-2023 20:19:35.297 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor.logTo - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
10-09-2023 20:19:36.461 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
10-09-2023 20:19:36.570 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Finished Spring Data repository scanning in 93 ms. Found 1 JPA repository interfaces.
10-09-2023 20:19:37.371 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer.initialize - Tomcat initialized with port(s): 8080 (http)
10-09-2023 20:19:37.386 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol.log - Initializing ProtocolHandler ["http-nio-8080"]
10-09-2023 20:19:37.392 [restartedMain] INFO  o.a.catalina.core.StandardService.log - Starting service [Tomcat]
10-09-2023 20:19:37.393 [restartedMain] INFO  o.a.catalina.core.StandardEngine.log - Starting Servlet engine: [Apache Tomcat/10.1.11]
10-09-2023 20:19:37.544 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/].log - Initializing Spring embedded WebApplicationContext
10-09-2023 20:19:37.545 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext.prepareWebApplicationContext - Root WebApplicationContext: initialization completed in 2247 ms
10-09-2023 20:19:37.766 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper.logPersistenceUnitInformation - HHH000204: Processing PersistenceUnitInfo [name: default]
10-09-2023 20:19:37.856 [restartedMain] INFO  org.hibernate.Version.logVersion - HHH000412: Hibernate ORM core version 6.2.6.Final
10-09-2023 20:19:37.861 [restartedMain] INFO  org.hibernate.cfg.Environment.<clinit> - HHH000406: Using bytecode reflection optimizer
10-09-2023 20:19:38.075 [restartedMain] INFO  o.h.b.i.BytecodeProviderInitiator.buildBytecodeProvider - HHH000021: Bytecode provider name : bytebuddy
10-09-2023 20:19:38.287 [restartedMain] INFO  o.s.o.j.p.SpringPersistenceUnitInfo.addTransformer - No LoadTimeWeaver setup: ignoring JPA class transformer
10-09-2023 20:19:38.315 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource.getConnection - HikariPool-1 - Starting...
10-09-2023 20:19:38.741 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool.checkFailFast - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@3545395d
10-09-2023 20:19:38.745 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource.getConnection - HikariPool-1 - Start completed.
